iter	Logloss
0	0.6004106789
1	0.5237805528
2	0.4578898231
3	0.4126561133
4	0.370010261
5	0.3288023916
6	0.302809754
7	0.2803608248
8	0.2591415702
9	0.2437629548
10	0.230089252
11	0.2171909948
12	0.2066154046
13	0.1982395364
14	0.1878570688
15	0.1823438505
16	0.1766971953
17	0.1723333173
18	0.1686331635
19	0.1651519289
20	0.1606161673
21	0.1573716936
22	0.1553198939
23	0.1528647417
24	0.1497008782
25	0.146970929
26	0.1433165715
27	0.1417280572
28	0.1389462097
29	0.1368827463
30	0.1352814475
31	0.1344822832
32	0.1325434206
33	0.1318426749
34	0.1300057548
35	0.1285193242
36	0.1273408334
37	0.1266704138
38	0.1259916025
39	0.1254728135
40	0.1240449066
41	0.1226644024
42	0.1215044016
43	0.1202495287
44	0.1201317793
45	0.1200031786
46	0.1196855328
47	0.1186160851
48	0.1179348077
49	0.1168219138
50	0.1160977222
51	0.1157455935
52	0.1146410026
53	0.1141489373
54	0.1133261115
55	0.1126070526
56	0.1115956705
57	0.1105031514
58	0.1099609002
59	0.1093968091
60	0.1092146706
61	0.1081345511
62	0.1076421982
63	0.107546189
64	0.1066051596
65	0.1061973833
66	0.1055733792
67	0.1055238927
68	0.1043200648
69	0.1039608726
70	0.1036708369
71	0.1036245569
72	0.1027795117
73	0.1024649843
74	0.1023014119
75	0.1018639625
76	0.1014648387
77	0.100636519
78	0.1002140932
79	0.09997054035
80	0.09973657581
81	0.09962721726
82	0.0985592389
83	0.09680750828
84	0.09666950022
85	0.09657590334
86	0.09558360747
87	0.09535543877
88	0.09428056806
89	0.09401526152
90	0.09359075543
91	0.09299055711
92	0.09250732861
93	0.09204635983
94	0.09081381181
95	0.08982341038
96	0.08973237341
97	0.08955900973
98	0.08946415907
99	0.08896436528
100	0.08819470191
101	0.08782650559
102	0.08740364091
103	0.08659658139
104	0.08613901458
105	0.08526013793
106	0.08472389349
107	0.08468277765
108	0.08464108568
109	0.08445498364
110	0.08439757256
111	0.08404784132
112	0.08380470882
113	0.08350987687
114	0.08320234212
115	0.08301823781
116	0.08178996653
117	0.08073248322
118	0.0797183341
119	0.07874563727
120	0.07777264155
121	0.07733254105
122	0.07724755377
123	0.07660580848
124	0.07609362488
125	0.07596116746
126	0.07594222061
127	0.07590872362
128	0.07555566709
129	0.07505573402
130	0.0750297703
131	0.07449954165
132	0.07425798777
133	0.07372912665
134	0.07337641771
135	0.07239312712
136	0.07104143938
137	0.07071821649
138	0.07068419714
139	0.07066326397
140	0.07013325879
141	0.06967188954
142	0.06928766815
143	0.06875892919
144	0.06839254514
145	0.06819586298
146	0.06704839318
147	0.06697435139
148	0.06643546105
149	0.06617704218
150	0.06522349487
151	0.06486756982
152	0.06456801125
153	0.06407309295
154	0.06402159505
155	0.06401115889
156	0.06371715153
157	0.06307896984
158	0.06302487241
159	0.06279011909
160	0.06271652893
161	0.06266597449
162	0.0625429139
163	0.06244003133
164	0.0621238809
165	0.06189050628
166	0.06184201248
167	0.0615484375
168	0.06111745333
169	0.06094025959
170	0.06082136577
171	0.06038847069
172	0.0602692283
173	0.05999700111
174	0.05987481
175	0.05945969704
176	0.05909003478
177	0.05860022397
178	0.05819149264
179	0.05815826465
180	0.0574823313
181	0.05745538092
182	0.05742637801
183	0.05731071845
184	0.05692579285
185	0.05669324111
186	0.05659239306
187	0.05649319806
188	0.05647586808
189	0.05619152894
190	0.0555507975
191	0.0555198768
192	0.05521817686
193	0.05501748648
194	0.05468745538
195	0.05464823779
196	0.05431878405
197	0.05403680538
198	0.05395033258
199	0.0537496591
